,Country,Happiness Score
0,Norway,7.537
1,Denmark,7.522
2,Iceland,7.504
3,Switzerland,7.494
4,Finland,7.469
5,Netherlands,7.377
6,Canada,7.316
7,New Zealand,7.314
8,Sweden,7.284
9,Australia,7.284
10,Israel,7.213
11,Costa Rica,7.079
12,Austria,7.006
13,United States,6.993
14,Ireland,6.977
15,Germany,6.951
16,Belgium,6.891
17,Luxembourg,6.863
18,United Kingdom,6.714
19,Chile,6.652
20,United Arab Emirates,6.648
21,Brazil,6.635
22,Czech Republic,6.609
23,Argentina,6.599
24,Mexico,6.578
25,Singapore,6.572
26,Malta,6.527
27,Uruguay,6.454
28,Guatemala,6.454
29,Panama,6.452
30,France,6.442
31,Thailand,6.424
32,Taiwan,6.422
33,Spain,6.403
34,Qatar,6.375
35,Colombia,6.357
36,Saudi Arabia,6.344
37,Trinidad and Tobago,6.168
38,Kuwait,6.105
39,Slovakia,6.098
40,Bahrain,6.087
41,Malaysia,6.084
42,Nicaragua,6.071
43,Ecuador,6.008
44,El Salvador,6.003
45,Poland,5.973
46,Uzbekistan,5.971
47,Italy,5.964
48,Russia,5.963
49,Belize,5.956
50,Japan,5.92
51,Lithuania,5.902
52,Algeria,5.872
53,Latvia,5.85
54,South Korea,5.838
55,Moldova,5.838
56,Romania,5.825
57,Bolivia,5.823
58,Turkmenistan,5.822
59,Kazakhstan,5.819
60,North Cyprus,5.81
61,Slovenia,5.758
62,Peru,5.715
63,Mauritius,5.629
64,Cyprus,5.621
65,Estonia,5.611
66,Belarus,5.569
67,Libya,5.525
68,Turkey,5.5
69,Paraguay,5.493
70,Hong Kong,5.472
71,Philippines,5.43
72,Serbia,5.395
73,Jordan,5.336
74,Hungary,5.324
75,Jamaica,5.311
76,Croatia,5.293
77,Kosovo,5.279
78,China,5.273
79,Pakistan,5.269
80,Indonesia,5.262
81,Venezuela,5.25
82,Montenegro,5.237
83,Morocco,5.235
84,Azerbaijan,5.234
85,Dominican Republic,5.23
86,Greece,5.227
87,Lebanon,5.225
88,Portugal,5.195
89,Bosnia and Herzegovina,5.182
90,Honduras,5.181
91,Macedonia,5.175
92,Somalia,5.151
93,Vietnam,5.074
94,Nigeria,5.074
95,Tajikistan,5.041
96,Bhutan,5.011
97,Kyrgyzstan,5.004
98,Nepal,4.962
99,Mongolia,4.955
100,South Africa,4.829
101,Tunisia,4.805
102,Palestinian Territories,4.775
103,Egypt,4.735
104,Bulgaria,4.714
105,Sierra Leone,4.709
106,Cameroon,4.695
107,Iran,4.692
108,Albania,4.644
109,Bangladesh,4.608
110,Namibia,4.574
111,Kenya,4.553
112,Mozambique,4.55
113,Myanmar,4.545
114,Senegal,4.535
115,Zambia,4.514
116,Iraq,4.497
117,Gabon,4.465
118,Ethiopia,4.46
119,Sri Lanka,4.44
120,Armenia,4.376
121,India,4.315
122,Mauritania,4.292
123,Congo (Brazzaville),4.291
124,Georgia,4.286
125,Congo (Kinshasa),4.28
126,Mali,4.19
127,Ivory Coast,4.18
128,Cambodia,4.168
129,Sudan,4.139
130,Ghana,4.12
131,Ukraine,4.096
132,Uganda,4.081
133,Burkina Faso,4.032
134,Niger,4.028
135,Malawi,3.97
136,Chad,3.936
137,Zimbabwe,3.875
138,Lesotho,3.808
139,Angola,3.795
140,Afghanistan,3.794
141,Botswana,3.766
142,Benin,3.657
143,Madagascar,3.644
144,Haiti,3.603
145,Yemen,3.593
146,South Sudan,3.591
147,Liberia,3.533
148,Guinea,3.507
149,Togo,3.495
150,Rwanda,3.471
151,Syria,3.462
152,Tanzania,3.349
153,Burundi,2.905
154,Central African Republic,2.693
