,Country,Family
23,Mexico,1.252
24,Chile,1.331
25,Taiwan,1.436
26,Panama,1.438
27,Brazil,1.474
28,Argentina,1.468
29,Guatemala,1.268
30,Uruguay,1.459
31,Qatar,1.303
32,Saudi Arabia,1.331
33,Singapore,1.451
34,Malaysia,1.258
35,Spain,1.538
36,Colombia,1.439
37,Trinidad and Tobago,1.492
38,Slovakia,1.537
39,El Salvador,1.231
40,Nicaragua,1.319
41,Poland,1.448
42,Bahrain,1.366
43,Uzbekistan,1.584
44,Kuwait,1.301
45,Thailand,1.417
46,Italy,1.501
47,Ecuador,1.33
48,Belize,1.101
49,Lithuania,1.527
50,Slovenia,1.506
51,Romania,1.219
52,Latvia,1.454
53,Japan,1.462
54,Mauritius,1.387
55,Jamaica,1.493
56,South Korea,1.204
57,North Cyprus,1.211
58,Russia,1.479
59,Kazakhstan,1.516
60,Cyprus,1.191
61,Bolivia,1.223
62,Estonia,1.532
63,Paraguay,1.522
64,Peru,1.249
65,Kosovo,1.23
66,Moldova,1.301
67,Turkmenistan,1.533
68,Hungary,1.401
69,Libya,1.35
70,Philippines,1.312
71,Honduras,1.205
72,Belarus,1.498
73,Turkey,1.38
74,Pakistan,0.81
75,Hong Kong,1.29
76,Portugal,1.429
77,Serbia,1.369
78,Greece,1.202
79,Lebanon,1.179
80,Montenegro,1.279
81,Croatia,1.161
82,Dominican Republic,1.441
83,Algeria,1.154
84,Morocco,0.797
85,China,1.142
86,Azerbaijan,1.161
87,Tajikistan,1.166
88,Macedonia,1.239
89,Jordan,1.265
90,Nigeria,1.172
91,Kyrgyzstan,1.416
92,Bosnia and Herzegovina,1.078
93,Mongolia,1.517
94,Vietnam,1.365
95,Indonesia,1.215
96,Bhutan,1.335
97,Somalia,0.712
98,Cameroon,0.891
99,Bulgaria,1.515
100,Nepal,1.228
101,Venezuela,1.469
102,Gabon,1.164
103,Palestinian Territories,1.217
104,South Africa,1.41
105,Iran,0.771
106,Ivory Coast,0.872
107,Ghana,0.896
108,Senegal,1.117
109,Laos,1.034
110,Tunisia,0.906
111,Albania,0.817
112,Sierra Leone,0.813
113,Congo (Brazzaville),0.811
114,Bangladesh,0.85
115,Sri Lanka,1.314
116,Iraq,0.971
117,Mali,1.233
118,Namibia,1.281
119,Cambodia,1.088
120,Burkina Faso,1.097
121,Egypt,1.025
122,Mozambique,0.902
123,Kenya,1.048
124,Zambia,1.047
125,Mauritania,1.245
126,Ethiopia,0.95
127,Georgia,0.592
128,Armenia,0.99
129,Myanmar,1.174
130,Chad,0.907
131,Congo (Kinshasa),1.136
132,India,0.747
133,Niger,0.867
134,Uganda,1.09
135,Benin,0.372
136,Sudan,1.24
137,Ukraine,1.413
138,Togo,0.474
139,Guinea,0.792
140,Lesotho,1.215
141,Angola,1.125
142,Madagascar,0.908
143,Zimbabwe,1.094
144,Afghanistan,0.537
145,Botswana,1.174
146,Malawi,0.541
147,Haiti,0.714
148,Liberia,0.858
149,Syria,0.382
150,Rwanda,0.896
151,Yemen,1.073
152,Tanzania,0.991
153,South Sudan,0.608
154,Central African Republic,0.0
155,Burundi,0.627
0,Finland,1.587
1,Denmark,1.573
2,Norway,1.582
3,Iceland,1.624
4,Netherlands,1.522
