,Country,Family
0,Finland,1.587
1,Denmark,1.573
2,Norway,1.582
3,Iceland,1.624
4,Netherlands,1.522
5,Switzerland,1.526
6,Sweden,1.487
7,New Zealand,1.557
8,Canada,1.505
9,Austria,1.475
10,Australia,1.548
11,Costa Rica,1.441
12,Israel,1.455
13,Luxembourg,1.479
14,United Kingdom,1.538
15,Ireland,1.553
16,Germany,1.454
17,Belgium,1.504
18,United States,1.457
19,Czech Republic,1.487
20,United Arab Emirates,1.31
21,Malta,1.52
22,Mexico,1.323
23,France,1.472
24,Taiwan,1.43
25,Chile,1.369
26,Guatemala,1.269
27,Saudi Arabia,1.357
28,Qatar,1.313
29,Spain,1.484
30,Panama,1.442
31,Brazil,1.439
32,Uruguay,1.465
33,Singapore,1.463
34,El Salvador,1.242
35,Italy,1.488
36,Bahrain,1.368
37,Slovakia,1.504
38,Trinidad and Tobago,1.477
39,Poland,1.438
40,Uzbekistan,1.529
41,Lithuania,1.515
42,Colombia,1.41
43,Slovenia,1.523
44,Nicaragua,1.325
45,Kosovo,1.232
46,Argentina,1.432
47,Romania,1.232
48,Cyprus,1.223
49,Ecuador,1.312
50,Kuwait,1.319
51,Thailand,1.409
52,Latvia,1.465
53,South Korea,1.219
54,Estonia,1.528
55,Jamaica,1.478
56,Mauritius,1.402
57,Japan,1.419
58,Honduras,1.236
59,Kazakhstan,1.508
60,Bolivia,1.209
61,Hungary,1.41
62,Paraguay,1.475
63,North Cyprus,1.252
64,Peru,1.274
65,Portugal,1.431
66,Pakistan,0.886
67,Russia,1.452
68,Philippines,1.293
69,Serbia,1.383
70,Moldova,1.328
71,Libya,1.303
72,Montenegro,1.361
73,Tajikistan,1.098
74,Croatia,1.266
75,Hong Kong,1.277
76,Dominican Republic,1.401
77,Bosnia and Herzegovina,1.212
78,Turkey,1.36
79,Malaysia,1.171
80,Belarus,1.465
81,Greece,1.156
82,Mongolia,1.531
83,Nigeria,1.111
84,Kyrgyzstan,1.438
85,Turkmenistan,1.538
86,Algeria,1.16
87,Morocco,0.782
88,Azerbaijan,1.147
89,Lebanon,1.224
90,Indonesia,1.203
91,China,1.125
92,Vietnam,1.346
93,Bhutan,1.321
94,Cameroon,0.91
95,Bulgaria,1.513
96,Ghana,0.868
97,Ivory Coast,0.808
98,Nepal,1.226
99,Jordan,1.225
100,Benin,0.437
101,Congo (Brazzaville),0.799
102,Gabon,1.183
103,Laos,1.03
104,South Africa,1.351
105,Albania,0.848
106,Venezuela,1.427
107,Cambodia,1.122
108,Palestinian Territories,1.247
109,Senegal,1.134
110,Somalia,0.698
111,Namibia,1.313
112,Niger,0.774
113,Burkina Faso,1.056
114,Armenia,1.055
115,Iran,0.842
116,Guinea,0.829
117,Georgia,0.666
118,Kenya,0.983
119,Mauritania,1.167
120,Mozambique,0.986
121,Tunisia,1.0
122,Bangladesh,0.928
123,Iraq,0.98
124,Congo (Kinshasa),1.125
125,Mali,1.105
126,Sierra Leone,0.841
127,Sri Lanka,1.265
128,Myanmar,1.181
129,Chad,0.766
130,Ukraine,1.39
131,Ethiopia,1.033
132,Swaziland,1.149
133,Uganda,1.069
134,Egypt,1.039
135,Zambia,1.058
136,Togo,0.572
137,India,0.765
138,Liberia,0.922
139,Comoros,0.757
140,Madagascar,0.916
141,Lesotho,1.169
142,Burundi,0.447
143,Zimbabwe,1.114
144,Haiti,0.688
145,Botswana,1.145
146,Syria,0.378
147,Malawi,0.56
148,Yemen,1.163
149,Rwanda,0.711
150,Tanzania,0.885
151,Afghanistan,0.517
152,Central African Republic,0.0
153,South Sudan,0.575
